user_id,explanation_mechanism,confidence,ease,understanding,additional_thoughts,survey_mechanism_pos
16,DatasetSimilarity,Neutral,Somewhat Easy,Neutral,,3
16,TemporalDecomposition,Confident,Somewhat Easy,Mostly understood,,0
16,SARFA,Unconfident,Somewhat Difficult,Understood very little,,2
16,OptimalAction,Neutral,Somewhat Difficult,Neutral,,1
18,DatasetSimilarity,Very Unconfident,Very Difficult,Did not understand at all,,1
18,TemporalDecomposition,Neutral,Somewhat Easy,Mostly understood,,0
18,SARFA,Neutral,Somewhat Difficult,Neutral,,3
18,OptimalAction,Neutral,Somewhat Easy,Mostly understood,,2
20,DatasetSimilarity,Confident,Somewhat Easy,Mostly understood,,3
20,TemporalDecomposition,Unconfident,Very Difficult,Did not understand at all,,2
20,SARFA,Unconfident,Somewhat Difficult,Neutral,,1
20,OptimalAction,Neutral,Somewhat Easy,Mostly understood,,0
21,DatasetSimilarity,Confident,Somewhat Easy,Mostly understood,,2
21,TemporalDecomposition,Neutral,Very Difficult,Did not understand at all,,1
21,SARFA,Neutral,Very Difficult,Did not understand at all,,0
21,OptimalAction,Neutral,Neutral,Neutral,,3
22,DatasetSimilarity,Confident,Somewhat Easy,Mostly understood,,0
22,TemporalDecomposition,Very Unconfident,Very Difficult,Did not understand at all,,3
22,SARFA,Confident,Somewhat Easy,Completely understood,,2
22,OptimalAction,Unconfident,Somewhat Difficult,Neutral,,1
23,DatasetSimilarity,Confident,Somewhat Easy,Mostly understood,,3
23,TemporalDecomposition,Unconfident,Very Difficult,Understood very little,,2
23,SARFA,Confident,Neutral,Mostly understood,,0
23,OptimalAction,Unconfident,Somewhat Difficult,Neutral,action described wasnt possible,1
24,DatasetSimilarity,Confident,Somewhat Easy,Neutral,,0
24,TemporalDecomposition,Unconfident,Neutral,Neutral,,2
24,SARFA,Unconfident,Neutral,Understood very little,,3
24,OptimalAction,Neutral,Neutral,Mostly understood,,1
26,DatasetSimilarity,Neutral,Somewhat Difficult,Neutral,,2
26,TemporalDecomposition,Unconfident,Somewhat Difficult,Mostly understood,,0
26,SARFA,Neutral,Neutral,Neutral,,3
26,OptimalAction,Neutral,Somewhat Difficult,Neutral,,1
27,DatasetSimilarity,Confident,Somewhat Easy,Mostly understood,,1
27,TemporalDecomposition,Neutral,Neutral,Neutral,,2
27,SARFA,Neutral,Neutral,Neutral,,3
27,OptimalAction,Confident,Somewhat Easy,Mostly understood,,0
28,DatasetSimilarity,Neutral,Somewhat Difficult,Mostly understood,,0
28,TemporalDecomposition,Confident,Neutral,Mostly understood,,3
28,SARFA,Neutral,Somewhat Difficult,Mostly understood,,2
28,OptimalAction,Neutral,Somewhat Difficult,Understood very little,,1
29,DatasetSimilarity,Neutral,Neutral,Neutral,I think it's a small screen and difficult to see,2
29,TemporalDecomposition,Neutral,Somewhat Difficult,Neutral,this was more difficult to interpret,1
29,SARFA,Confident,Neutral,Neutral,the second image was difficult to see with the colours,0
29,OptimalAction,Neutral,Somewhat Difficult,Neutral,,3
30,DatasetSimilarity,Neutral,Somewhat Difficult,Understood very little,,0
30,TemporalDecomposition,Very Unconfident,Very Difficult,Did not understand at all,,2
30,SARFA,Unconfident,Very Difficult,Understood very little,,3
30,OptimalAction,Neutral,Somewhat Difficult,Mostly understood,,1
