user_id,gender,age_group,education,ai_study,pacman_knowledge,time_taken,explanation_mechanism_order,final_thoughts
16,Female,18–24,High School,Yes,Have played and understand the game well,610,"('TemporalDecomposition', 'OptimalAction', 'SARFA', 'DatasetSimilarity')",
18,Female,55–64,High School,No,Have played once or twice and have minimal knowledge of the game,507,"('TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction', 'SARFA')",
20,Female,25–34,High School,No,Have played and understand the game well,680,"('OptimalAction', 'SARFA', 'TemporalDecomposition', 'DatasetSimilarity')",
21,Female,35–44,Master's Degree,No,Have played and understand the game well,529,"('SARFA', 'TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction')",
22,Male,25–34,Bachelor's Degree,Yes,Have played and understand the game well,648,"('DatasetSimilarity', 'OptimalAction', 'SARFA', 'TemporalDecomposition')",
23,Male,25–34,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,858,"('SARFA', 'OptimalAction', 'TemporalDecomposition', 'DatasetSimilarity')",
24,Female,25–34,High School,No,Have played and understand the game well,612,"('DatasetSimilarity', 'OptimalAction', 'TemporalDecomposition', 'SARFA')",
26,Female,45–54,High School,No,Have played once or twice and have minimal knowledge of the game,519,"('TemporalDecomposition', 'OptimalAction', 'DatasetSimilarity', 'SARFA')",
27,Male,55–64,Bachelor's Degree,Yes,Have played and understand the game well,908,"('OptimalAction', 'DatasetSimilarity', 'TemporalDecomposition', 'SARFA')",
28,Female,25–34,Master's Degree,No,Have played once or twice and have minimal knowledge of the game,681,"('DatasetSimilarity', 'OptimalAction', 'SARFA', 'TemporalDecomposition')",
29,Female,35–44,Master's Degree,Yes,Have played and understand the game well,693,"('SARFA', 'TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction')",
30,Female,18–24,High School,No,Have played and understand the game well,614,"('DatasetSimilarity', 'OptimalAction', 'TemporalDecomposition', 'SARFA')",
31,Male,35–44,Master's Degree,Yes,Have played once or twice and have minimal knowledge of the game,857,"('OptimalAction', 'DatasetSimilarity', 'TemporalDecomposition', 'SARFA')",none
32,Male,25–34,High School,No,Have played and understand the game well,494,"('TemporalDecomposition', 'SARFA', 'DatasetSimilarity', 'OptimalAction')",
33,Male,25–34,Bachelor's Degree,Yes,Have played once or twice and have minimal knowledge of the game,467,"('DatasetSimilarity', 'OptimalAction', 'SARFA', 'TemporalDecomposition')",
34,Female,65 and older,High School,No,Have played once or twice and have minimal knowledge of the game,757,"('OptimalAction', 'SARFA', 'TemporalDecomposition', 'DatasetSimilarity')",
35,Male,35–44,Bachelor's Degree,No,Have played and understand the game well,745,"('OptimalAction', 'DatasetSimilarity', 'TemporalDecomposition', 'SARFA')",No thank you
36,Male,35–44,High School,No,Have played and understand the game well,762,"('TemporalDecomposition', 'OptimalAction', 'SARFA', 'DatasetSimilarity')",
37,Female,18–24,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,540,"('SARFA', 'TemporalDecomposition', 'OptimalAction', 'DatasetSimilarity')",
38,Female,45–54,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,687,"('DatasetSimilarity', 'SARFA', 'OptimalAction', 'TemporalDecomposition')",
39,Female,35–44,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,834,"('DatasetSimilarity', 'OptimalAction', 'SARFA', 'TemporalDecomposition')",
40,Female,25–34,High School,No,Have played once or twice and have minimal knowledge of the game,645,"('OptimalAction', 'SARFA', 'DatasetSimilarity', 'TemporalDecomposition')",
41,Female,35–44,High School,No,Have played and understand the game well,490,"('SARFA', 'OptimalAction', 'TemporalDecomposition', 'DatasetSimilarity')",
42,Female,55–64,High School,No,Have played and understand the game well,723,"('SARFA', 'OptimalAction', 'TemporalDecomposition', 'DatasetSimilarity')",
43,Male,25–34,"Doctorate or Professional Degree (e.g., PhD, MD, JD)",Yes,Have played and understand the game well,840,"('DatasetSimilarity', 'SARFA', 'OptimalAction', 'TemporalDecomposition')",
44,Male,45–54,High School,Yes,Have played and understand the game well,547,"('SARFA', 'DatasetSimilarity', 'TemporalDecomposition', 'OptimalAction')",
45,Female,35–44,Master's Degree,Yes,Never played and have no idea how the game works,474,"('TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction', 'SARFA')",
46,Male,25–34,High School,No,Have played and understand the game well,664,"('TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction', 'SARFA')",
47,Male,25–34,Master's Degree,Yes,Have played once or twice and have minimal knowledge of the game,843,"('DatasetSimilarity', 'OptimalAction', 'SARFA', 'TemporalDecomposition')",
48,Male,45–54,"Doctorate or Professional Degree (e.g., PhD, MD, JD)",Yes,Have played and understand the game well,491,"('DatasetSimilarity', 'SARFA', 'OptimalAction', 'TemporalDecomposition')",gibberish 
49,Male,45–54,High School,No,Have played once or twice and have minimal knowledge of the game,616,"('TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction', 'SARFA')",
50,Male,25–34,Bachelor's Degree,Yes,Have played once or twice and have minimal knowledge of the game,691,"('TemporalDecomposition', 'DatasetSimilarity', 'SARFA', 'OptimalAction')",It was difficult to interpret the game footage due to it being atari (i think) pac-man and not the arcade version most know of. 
51,Female,55–64,Bachelor's Degree,No,Never played and have no idea how the game works,769,"('TemporalDecomposition', 'OptimalAction', 'SARFA', 'DatasetSimilarity')",
52,Female,25–34,Master's Degree,Yes,Have played and understand the game well,837,"('DatasetSimilarity', 'TemporalDecomposition', 'SARFA', 'OptimalAction')",
53,Female,35–44,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,836,"('SARFA', 'OptimalAction', 'DatasetSimilarity', 'TemporalDecomposition')",Its very tricky for me
54,Female,35–44,Master's Degree,No,Have played once or twice and have minimal knowledge of the game,1045,"('DatasetSimilarity', 'SARFA', 'OptimalAction', 'TemporalDecomposition')",
55,Female,35–44,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,542,"('DatasetSimilarity', 'OptimalAction', 'SARFA', 'TemporalDecomposition')",
56,Female,25–34,Bachelor's Degree,Yes,Have played and understand the game well,717,"('DatasetSimilarity', 'TemporalDecomposition', 'SARFA', 'OptimalAction')",
57,Male,35–44,Bachelor's Degree,No,Have played and understand the game well,777,"('DatasetSimilarity', 'OptimalAction', 'TemporalDecomposition', 'SARFA')",
58,Male,18–24,High School,Yes,Have played and understand the game well,638,"('TemporalDecomposition', 'SARFA', 'DatasetSimilarity', 'OptimalAction')",
59,Female,18–24,Bachelor's Degree,Yes,Have played once or twice and have minimal knowledge of the game,895,"('SARFA', 'TemporalDecomposition', 'OptimalAction', 'DatasetSimilarity')",
60,Male,55–64,Bachelor's Degree,No,Have played and understand the game well,792,"('DatasetSimilarity', 'SARFA', 'OptimalAction', 'TemporalDecomposition')",
62,Female,18–24,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,794,"('TemporalDecomposition', 'DatasetSimilarity', 'SARFA', 'OptimalAction')",I feel dumb after that 
63,Male,35–44,Bachelor's Degree,No,Have played and understand the game well,641,"('SARFA', 'OptimalAction', 'TemporalDecomposition', 'DatasetSimilarity')",
64,Male,18–24,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,692,"('SARFA', 'DatasetSimilarity', 'TemporalDecomposition', 'OptimalAction')",
65,Female,25–34,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,780,"('TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction', 'SARFA')",
66,Female,25–34,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,836,"('SARFA', 'OptimalAction', 'DatasetSimilarity', 'TemporalDecomposition')",
67,Male,65 and older,Bachelor's Degree,Yes,Have played and understand the game well,963,"('SARFA', 'DatasetSimilarity', 'TemporalDecomposition', 'OptimalAction')",
68,Female,25–34,Master's Degree,Yes,Have played once or twice and have minimal knowledge of the game,1105,"('SARFA', 'OptimalAction', 'DatasetSimilarity', 'TemporalDecomposition')",
69,Female,45–54,High School,No,Have played and understand the game well,630,"('SARFA', 'OptimalAction', 'DatasetSimilarity', 'TemporalDecomposition')",
70,Female,45–54,Bachelor's Degree,Yes,Have played once or twice and have minimal knowledge of the game,1314,"('TemporalDecomposition', 'SARFA', 'OptimalAction', 'DatasetSimilarity')",
71,Female,25–34,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,641,"('DatasetSimilarity', 'OptimalAction', 'TemporalDecomposition', 'SARFA')",
72,Female,25–34,Master's Degree,No,Have played and understand the game well,869,"('SARFA', 'TemporalDecomposition', 'OptimalAction', 'DatasetSimilarity')",
73,Non-binary / other,25–34,Bachelor's Degree,No,Have played and understand the game well,764,"('OptimalAction', 'TemporalDecomposition', 'DatasetSimilarity', 'SARFA')",
74,Male,35–44,High School,No,Have played and understand the game well,756,"('SARFA', 'TemporalDecomposition', 'OptimalAction', 'DatasetSimilarity')",
75,Female,18–24,Bachelor's Degree,Yes,Have played and understand the game well,701,"('OptimalAction', 'SARFA', 'TemporalDecomposition', 'DatasetSimilarity')",
76,Female,45–54,Bachelor's Degree,Yes,Have played once or twice and have minimal knowledge of the game,881,"('TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction', 'SARFA')",
77,Female,18–24,High School,Yes,Have played and understand the game well,1300,"('TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction', 'SARFA')",No
78,Female,55–64,Bachelor's Degree,No,Have played and understand the game well,927,"('SARFA', 'DatasetSimilarity', 'TemporalDecomposition', 'OptimalAction')",
