user_id,obs_id,explanation_mechanism,true_strategy,predicted_strategy,is_correct,confidence,time_taken,survey_question_pos
16,15,DatasetSimilarity,EnergyPill,EnergyPill,True,Confident,11.485,14
16,8,DatasetSimilarity,Survival,Survival,True,Confident,13.32,12
16,16,DatasetSimilarity,Survival,EnergyPill,False,Very Confident,11.731,15
16,8,DatasetSimilarity,LoseALife,LoseALife,True,Neutral,22.399,13
16,11,TemporalDecomposition,Dots,Survival,False,Neutral,3.927,2
16,18,TemporalDecomposition,Dots,EnergyPill,False,Confident,18.186,1
16,6,TemporalDecomposition,Survival,Dots,False,Confident,28.593,0
16,8,TemporalDecomposition,LoseALife,LoseALife,True,Very Confident,5.884,3
16,7,SARFA,Dots,Survival,False,Unconfident,14.813,10
16,5,SARFA,EnergyPill,Dots,False,Neutral,6.796,11
16,11,SARFA,Survival,LoseALife,False,Unconfident,11.21,9
16,18,SARFA,LoseALife,EnergyPill,False,Confident,12.452,8
16,3,OptimalAction,Dots,Survival,False,Confident,12.22,4
16,13,OptimalAction,Dots,Dots,True,Confident,9.338,6
16,3,OptimalAction,Survival,Survival,True,Confident,8.937,7
16,8,OptimalAction,LoseALife,EnergyPill,False,Very Confident,6.505,5
18,4,DatasetSimilarity,Dots,Dots,True,Unconfident,7.97,6
18,13,DatasetSimilarity,Dots,Dots,True,Unconfident,47.358,4
18,6,DatasetSimilarity,EnergyPill,EnergyPill,True,Very Unconfident,17.693,7
18,18,DatasetSimilarity,LoseALife,Survival,False,Unconfident,14.101,5
18,9,TemporalDecomposition,Dots,Dots,True,Neutral,23.19,3
18,5,TemporalDecomposition,EnergyPill,EnergyPill,True,Confident,19.257,2
18,19,TemporalDecomposition,EnergyPill,Dots,False,Neutral,24.202,1
18,5,TemporalDecomposition,Survival,EnergyPill,False,Confident,15.696,0
18,4,SARFA,EnergyPill,Dots,False,Confident,10.539,12
18,14,SARFA,Survival,Survival,True,Neutral,14.267,13
18,17,SARFA,Survival,Dots,False,Neutral,7.282,15
18,5,SARFA,LoseALife,EnergyPill,False,Neutral,9.963,14
18,6,OptimalAction,Dots,Survival,False,Neutral,7.861,8
18,1,OptimalAction,Survival,Dots,False,Neutral,8.176,10
18,18,OptimalAction,Survival,LoseALife,False,Confident,5.216,11
18,3,OptimalAction,LoseALife,Dots,False,Neutral,10.765,9
20,11,DatasetSimilarity,Dots,EnergyPill,False,Confident,22.559,12
20,17,DatasetSimilarity,Dots,Dots,True,Confident,18.76,15
20,10,DatasetSimilarity,EnergyPill,EnergyPill,True,Neutral,23.24,14
20,3,DatasetSimilarity,Survival,Survival,True,Confident,17.028,13
20,4,TemporalDecomposition,EnergyPill,Dots,False,Neutral,20.231,8
20,10,TemporalDecomposition,EnergyPill,LoseALife,False,Unconfident,16.8,9
20,2,TemporalDecomposition,Survival,Survival,True,Neutral,11.221,11
20,17,TemporalDecomposition,LoseALife,LoseALife,True,Unconfident,30.48,10
20,5,SARFA,Dots,Dots,True,Neutral,12.186,7
20,6,SARFA,EnergyPill,EnergyPill,True,Confident,15.401,4
20,4,SARFA,Survival,Dots,False,Confident,10.174,5
20,13,SARFA,LoseALife,LoseALife,True,Unconfident,17.457,6
20,3,OptimalAction,EnergyPill,Dots,False,Confident,24.128,0
20,7,OptimalAction,EnergyPill,EnergyPill,True,Unconfident,31.349,1
20,14,OptimalAction,EnergyPill,Survival,False,Confident,15.719,3
20,18,OptimalAction,LoseALife,EnergyPill,False,Very Confident,12.693,2
21,0,DatasetSimilarity,Dots,EnergyPill,False,Confident,10.15,10
21,5,DatasetSimilarity,Dots,EnergyPill,False,Confident,19.018,11
21,13,DatasetSimilarity,Survival,LoseALife,False,Confident,14.704,9
21,18,DatasetSimilarity,Survival,Survival,True,Confident,15.593,8
21,1,TemporalDecomposition,Dots,Dots,True,Neutral,13.131,6
21,10,TemporalDecomposition,Dots,Dots,True,Neutral,13.821,4
21,3,TemporalDecomposition,EnergyPill,Survival,False,Neutral,9.491,5
21,13,TemporalDecomposition,Survival,Dots,False,Neutral,8.855,7
21,3,SARFA,Dots,Survival,False,Neutral,23.8,0
21,18,SARFA,EnergyPill,EnergyPill,True,Neutral,9.873,3
21,0,SARFA,Survival,EnergyPill,False,Neutral,15.42,2
21,6,SARFA,LoseALife,Dots,False,Neutral,13.958,1
21,15,OptimalAction,Dots,EnergyPill,False,Confident,12.069,15
21,16,OptimalAction,Dots,Survival,False,Neutral,15.51,12
21,0,OptimalAction,Survival,Survival,True,Neutral,14.231,13
21,13,OptimalAction,LoseALife,EnergyPill,False,Confident,9.421,14
22,12,DatasetSimilarity,Dots,Dots,True,Neutral,31.118,1
22,19,DatasetSimilarity,Dots,Dots,True,Neutral,29.355,2
22,2,DatasetSimilarity,EnergyPill,EnergyPill,True,Confident,28.235,3
22,5,DatasetSimilarity,Survival,Survival,True,Confident,26.611,0
22,14,TemporalDecomposition,EnergyPill,Dots,False,Unconfident,7.701,13
22,19,TemporalDecomposition,Survival,Dots,False,Confident,8.476,14
22,1,TemporalDecomposition,LoseALife,Survival,False,Very Unconfident,19.785,12
22,14,TemporalDecomposition,LoseALife,Survival,False,Very Unconfident,8.099,15
22,3,SARFA,Survival,EnergyPill,False,Neutral,23.704,8
22,18,SARFA,Survival,EnergyPill,False,Very Confident,9.986,9
22,9,SARFA,LoseALife,Dots,False,Very Confident,7.139,11
22,16,SARFA,LoseALife,Dots,False,Very Confident,6.794,10
22,2,OptimalAction,Dots,Survival,False,Unconfident,15.813,4
22,4,OptimalAction,EnergyPill,LoseALife,False,Neutral,87.58,7
22,10,OptimalAction,EnergyPill,LoseALife,False,Neutral,14.056,5
22,7,OptimalAction,LoseALife,Survival,False,Very Confident,7.257,6
23,8,DatasetSimilarity,Dots,EnergyPill,False,Very Confident,22.458,14
23,9,DatasetSimilarity,Dots,EnergyPill,False,Very Confident,15.966,15
23,6,DatasetSimilarity,Survival,Survival,True,Very Confident,8.241,13
23,11,DatasetSimilarity,LoseALife,Survival,False,Unconfident,34.726,12
23,4,TemporalDecomposition,Dots,EnergyPill,False,Very Confident,23.223,10
23,14,TemporalDecomposition,Dots,Survival,False,Unconfident,28.092,9
23,14,TemporalDecomposition,Survival,Dots,False,Neutral,31.344,8
23,11,TemporalDecomposition,LoseALife,LoseALife,True,Very Confident,6.557,11
23,9,SARFA,Survival,Survival,True,Confident,22.046,0
23,10,SARFA,Survival,Dots,False,Confident,18.086,3
23,17,SARFA,LoseALife,LoseALife,True,Unconfident,52.638,2
23,19,SARFA,LoseALife,EnergyPill,False,Very Confident,37.788,1
23,14,OptimalAction,Dots,Survival,False,Confident,9.839,5
23,10,OptimalAction,Survival,Survival,True,Unconfident,23.897,4
23,13,OptimalAction,Survival,Survival,True,Confident,14.422,6
23,11,OptimalAction,LoseALife,Survival,False,Confident,17.503,7
24,2,DatasetSimilarity,Dots,EnergyPill,False,Confident,13.362,0
24,2,DatasetSimilarity,Survival,Survival,True,Confident,14.18,2
24,4,DatasetSimilarity,Survival,Survival,True,Confident,9.184,3
24,17,DatasetSimilarity,Survival,Survival,True,Neutral,15.843,1
24,16,TemporalDecomposition,Dots,EnergyPill,False,Confident,10.337,11
